index_no,region_no,port_name,country,latitude,longitude,geog,geom
62065,61100,MUTUREZIMA KO,JP,33.966667,130.866667,0101000020E6100000BCBBBBBBBB5B6040BCBBBBBBBBFB4040,0101000020E6100000BCBBBBBBBB5B6040BCBBBBBBBBFB4040
62070,61100,IMABARI KO,JP,34.066667,133.016667,0101000020E61000008988888888A060408988888888084140,0101000020E61000008988888888A060408988888888084140
62080,61100,NIIHAMA,JP,33.983333,133.283333,0101000020E61000001111111111A96040DEDDDDDDDDFD4040,0101000020E61000001111111111A96040DEDDDDDDDDFD4040
62085,61100,MISHIMA-KAWANOE KO,JP,34,133.55,0101000020E61000009A99999999B160400000000000004140,0101000020E61000009A99999999B160400000000000004140
49200,49190,MALE,MV,4.166667,73.5,0101000020E61000000000000000605240ABAAAAAAAAAA1040,0101000020E61000000000000000605240ABAAAAAAAAAA1040
48430,48410,ABADAN,IR,30.333333,48.283333,0101000020E610000044444444442448405555555555553E40,0101000020E610000044444444442448405555555555553E40
48230,48225,MINA RAYSUT,OM,16.933333,54.016667,0101000020E61000002222222222024B40EFEEEEEEEEEE3040,0101000020E61000002222222222024B40EFEEEEEEEEEE3040
48250,48225,MINA QABUS,OM,23.633333,58.583333,0101000020E6100000ABAAAAAAAA4A4D402222222222A23740,0101000020E6100000ABAAAAAAAA4A4D402222222222A23740
48255,48225,MINA AL FAHL,OM,23.633333,58.516667,0101000020E61000002222222222424D402222222222A23740,0101000020E61000002222222222424D402222222222A23740
48262,48260,FUJAYRAH HARBOR,AE,25.166667,56.333333,0101000020E6100000ABAAAAAAAA2A4C40ABAAAAAAAA2A3940,0101000020E6100000ABAAAAAAAA2A4C40ABAAAAAAAA2A3940
48263,48260,KHAWR FAKKAN,AE,25.35,56.383333,0101000020E61000001111111111314C409A99999999593940,0101000020E61000001111111111314C409A99999999593940
48264,48260,MINA SAQR,AE,25.983333,56.05,0101000020E61000006666666666064C40BCBBBBBBBBFB3940,0101000020E61000006666666666064C40BCBBBBBBBBFB3940
48265,48260,FATEH OIL TERMINAL,AE,25.583333,54.416667,0101000020E61000005555555555354B405555555555953940,0101000020E61000005555555555354B405555555555953940
48268,48260,MUBARRAZ OIL TERMINAL,AE,24.433333,53.516667,0101000020E61000002222222222C24A40EFEEEEEEEE6E3840,0101000020E61000002222222222C24A40EFEEEEEEEE6E3840
48274,48260,AL HAMRIYAH LPG TERMINAL,AE,25.466667,55.483333,0101000020E6100000DEDDDDDDDDBD4B407777777777773940,0101000020E6100000DEDDDDDDDDBD4B407777777777773940
48275,48260,DUBAYY,AE,25.266667,55.3,0101000020E61000006666666666A64B404444444444443940,0101000020E61000006666666666A64B404444444444443940
48276,48260,MINA JABAL ALI,AE,25.016667,55.05,0101000020E61000006666666666864B404444444444043940,0101000020E61000006666666666864B404444444444043940
48277,48260,JAZIRAT DAS,AE,25.15,52.866667,0101000020E6100000EFEEEEEEEE6E4A406666666666263940,0101000020E6100000EFEEEEEEEE6E4A406666666666263940
48278,48260,ABU ZABY,AE,24.5,54.333333,0101000020E6100000ABAAAAAAAA2A4B400000000000803840,0101000020E6100000ABAAAAAAAA2A4B400000000000803840
48279,48260,UMM AN NAR,AE,24.45,54.483333,0101000020E6100000DEDDDDDDDD3D4B403333333333733840,0101000020E6100000DEDDDDDDDD3D4B403333333333733840
48282,48260,JABAL AZ ZANNAH/RUWAYS,AE,24.2,52.7,0101000020E61000009A99999999594A403333333333333840,0101000020E61000009A99999999594A403333333333333840
48287,48285,UMM SAID,QA,24.916667,51.566667,0101000020E61000008988888888C84940ABAAAAAAAAEA3840,0101000020E61000008988888888C84940ABAAAAAAAAEA3840
48290,48285,DOHA,QA,25.283333,51.533333,0101000020E61000004444444444C449408988888888483940,0101000020E61000004444444444C449408988888888483940
59991,59850,NANTONG,CN,32,120.8,0101000020E61000003333333333335E400000000000004040,0101000020E61000003333333333335E400000000000004040
59990,59850,ZHANGJIANGANG,CN,31.966667,120.4,0101000020E61000009A99999999195E407777777777F73F40,0101000020E61000009A99999999195E407777777777F73F40
60323,60315,DAESAN HANG,KR,37.016667,126.4,0101000020E61000009A99999999995F402222222222824240,0101000020E61000009A99999999995F402222222222824240
60725,60530,VOSTOCHNYY,RU,42.75,133.083333,0101000020E6100000ABAAAAAAAAA260400000000000604540,0101000020E6100000ABAAAAAAAAA260400000000000604540
61416,61100,ATSUMI,JP,34.666667,137.066667,0101000020E610000022222222222261405555555555554140,0101000020E610000022222222222261405555555555554140
62535,62530,SLAVYANKA,RU,42.866667,131.383333,0101000020E610000044444444446C6040EFEEEEEEEE6E4540,0101000020E610000044444444446C6040EFEEEEEEEE6E4540
61571,61100,O0KIHAMA,JP,34.75,134.566667,0101000020E61000002222222222D260400000000000604140,0101000020E61000002222222222D260400000000000604140
61232,61100,ISIKARI WAN,JP,43.233333,141.366667,0101000020E6100000BCBBBBBBBBAB6140DEDDDDDDDD9D4540,0101000020E6100000BCBBBBBBBBAB6140DEDDDDDDDD9D4540
61810,61100,TSURUGA KO,JP,35.65,136.066667,0101000020E610000022222222220261403333333333D34140,0101000020E610000022222222220261403333333333D34140
61865,61100,NAOETSU KO,JP,37.183333,138.25,0101000020E610000000000000004861407777777777974240,0101000020E610000000000000004861407777777777974240
49000,48610,BELEKERI,IN,14.7,74.266667,0101000020E610000011111111119152406666666666662D40,0101000020E610000011111111119152406666666666662D40
48960,48610,PANAJI,IN,15.5,73.816667,0101000020E610000044444444447452400000000000002F40,0101000020E610000044444444447452400000000000002F40
48615,48610,VADINAR TERMINAL,IN,22.516667,69.7,0101000020E6100000CDCCCCCCCC6C51404444444444843640,0101000020E6100000CDCCCCCCCC6C51404444444444843640
62505,62470,NAKAGUSUKU,JP,26.266667,127.916667,0101000020E6100000ABAAAAAAAAFA5F404444444444443A40,0101000020E6100000ABAAAAAAAAFA5F404444444444443A40
62340,61100,AOKATA,JP,32.983333,129.066667,0101000020E61000002222222222226040DEDDDDDDDD7D4040,0101000020E61000002222222222226040DEDDDDDDDD7D4040
61805,61100,FUKUI,JP,36.066667,136.2,0101000020E610000066666666660661408988888888084240,0101000020E610000066666666660661408988888888084240
61867,61100,KASHIWAZAKI,JP,37.366667,138.55,0101000020E61000009A99999999516140EFEEEEEEEEAE4240,0101000020E61000009A99999999516140EFEEEEEEEEAE4240
61617,61100,HABU KO,JP,34.283333,133.183333,0101000020E6100000DEDDDDDDDDA560404444444444244140,0101000020E6100000DEDDDDDDDDA560404444444444244140
62497,61100,NISHIHARA,JP,26.216667,127.8,0101000020E61000003333333333F35F407777777777373A40,0101000020E61000003333333333F35F407777777777373A40
62079,61100,ONODA,JP,34,131.183333,0101000020E6100000DEDDDDDDDD6560400000000000004140,0101000020E6100000DEDDDDDDDD6560400000000000004140
61967,61100,SHINGU,JP,33.666667,135.983333,0101000020E61000007777777777FF60405555555555D54040,0101000020E61000007777777777FF60405555555555D54040
62077,61100,TAKUMA,JP,34.216667,133.683333,0101000020E6100000DEDDDDDDDDB56040BCBBBBBBBB1B4140,0101000020E6100000DEDDDDDDDDB56040BCBBBBBBBB1B4140
